"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",20138727,"138727 (2000 SU180)",2460600.5,0.6052,2.105,327.89,136.32,289.27,1.12e+03,11.92
,,3.303,"Otto Matic",20138971,"138971 (2001 CB21)",2460600.5,0.3334,1.034,353.67,271.93,115.89,384,7.92
,,,"Otto Matic",20139211,"139211 (2001 GN2)",2460600.5,0.4518,1.86,173.53,3.58,106.42,926,26.05
,,,"Otto Matic",20139359,"139359 (2001 ME1)",2460600.5,0.8700,2.634,84.57,302.40,138.82,1.56e+03,5.96
,,,Giorgini,20139622,"139622 (2001 QQ142)",2460600.5,0.3101,1.421,83.16,337.95,190.84,618,9.34
,,,"Otto Matic",20140039,"140039 (2001 SO73)",2460600.5,0.5679,1.821,197.14,31.03,222.91,898,4.85
0.566,0.289,3.143,"Otto Matic",20140158,"140158 (2001 SX169)",2460600.5,0.4608,1.347,126.78,42.73,94.39,571,2.52
1.263,0.231,6.58,"Otto Matic",20140288,"140288 (2001 SN289)",2460600.5,0.5082,1.784,357.06,225.64,344.42,871,53.19
,,,"Otto Matic",20141053,"141053 (2001 XT1)",2460600.5,0.5795,1.528,316.21,31.39,67.95,690,2.73
0.239,0.340,2.605,"Otto Matic",20141432,"141432 (2002 CQ11)",2460600.5,0.4275,0.9762,81.34,272.65,241.70,352,2.47
,,2.327,"Otto Matic",20141495,"141495 (2002 EZ11)",2460600.5,0.8021,1.114,51.88,317.78,194.78,429,2.35
,,14.45,"Otto Matic",20141525,"141525 (2002 FV5)",2460600.5,0.7245,1.087,38.84,308.11,251.11,414,34.04
,,6.306,"Otto Matic",20141527,"141527 (2002 FG7)",2460600.5,0.6268,1.513,187.48,247.69,82.57,680,9.20
,,12.69,"Otto Matic",20141593,"141593 (2002 HK12)",2460600.5,0.5287,2.002,306.98,2.25,301.23,1.03e+03,2.35
,,,"Otto Matic",20141614,"141614 (2002 JV15)",2460600.5,0.5361,1.624,200.62,127.39,269.02,756,7.19
,,,"Otto Matic",20141851,"141851 (2002 PM6)",2460600.5,0.8501,1.198,304.00,224.53,11.09,479,19.13
,,78.64,"Otto Matic",20143404,"143404 (2003 BD44)",2460600.5,0.6075,1.968,181.18,89.36,242.26,1.01e+03,2.66
,,7.021,"Otto Matic",20143487,"143487 (2003 CR20)",2460600.5,0.7301,2.124,177.06,88.83,329.95,1.13e+03,4.99
2.137,0.169,32.1,"Otto Matic",20143624,"143624 (2003 HM16)",2460600.5,0.5773,1.967,195.84,47.18,262.55,1.01e+03,35.54
,,2.6446,"Otto Matic",20143649,"143649 (2003 QQ47)",2460600.5,0.1870,1.085,0.99,104.96,174.10,413,62.10
,,114.4,"Otto Matic",20143651,"143651 (2003 QO104)",2460600.5,0.5262,2.133,58.17,183.60,335.50,1.14e+03,11.62
,,,"Otto Matic",20143992,"143992 (2004 AF)",2460600.5,0.5538,1.971,315.62,57.98,205.38,1.01e+03,27.13
,,7.985,"Otto Matic",20144332,"144332 (2004 DV24)",2460600.5,0.2898,1.423,171.13,186.41,206.42,620,55.89
,,3.369,"Otto Matic",20144898,"144898 (2004 VD17)",2460600.5,0.5886,1.508,223.98,90.98,306.24,676,4.22
,,,"Otto Matic",20144900,"144900 (2004 VG64)",2460600.5,0.6557,0.9683,208.85,43.93,29.68,348,36.25
,,3.49,"Otto Matic",20152560,"152560 (1991 BN)",2460600.5,0.3979,1.443,268.81,80.99,256.49,633,3.45
,,,"Otto Matic",20152561,"152561 (1991 RB)",2460600.5,0.4857,1.454,359.29,68.96,279.78,641,19.58
,,,"Otto Matic",20152637,"152637 (1997 NC1)",2460600.5,0.2085,0.8649,96.46,16.59,115.84,294,16.72
,,17.38,"Otto Matic",20152664,"152664 (1998 FW4)",2460600.5,0.7143,2.525,353.60,85.47,264.00,1.47e+03,3.42
0.298,0.200,,"Otto Matic",20152671,"152671 (1998 HL3)",2460600.5,0.3659,1.129,163.64,188.16,286.27,438,2.68
,,,"Otto Matic",20152680,"152680 (1998 KJ9)",2460600.5,0.6396,1.448,98.54,260.12,16.67,636,10.93
,,,"Otto Matic",20152685,"152685 (1998 MZ)",2460600.5,0.5729,1.346,122.28,39.24,349.07,571,0.15
0.414,0.216,8.021,"Otto Matic",20152754,"152754 (1999 GS6)",2460600.5,0.4974,1.191,314.42,134.97,283.40,475,2.02
,,,"Otto Matic",20152770,"152770 (1999 RR28)",2460600.5,0.6542,1.879,178.16,284.58,231.90,940,7.14
,,,"Otto Matic",20152828,"152828 (1999 VT25)",2460600.5,0.5231,1.162,221.94,319.24,253.70,458,5.15
0.531,0.109,10.009,"Otto Matic",20152978,"152978 (2000 GJ147)",2460600.5,0.2367,1.162,57.85,240.80,134.02,458,25.01
,,6.051,"Otto Matic",20153002,"153002 (2000 JG5)",2460600.5,0.7961,1.341,213.04,233.45,307.51,567,31.43
0.510,0.129,5.022,"Otto Matic",20153201,"153201 (2000 WO107)",2460600.5,0.7808,0.9111,69.20,213.75,219.51,318,7.77
,,,"Otto Matic",20153220,"153220 (2000 YN29)",2460600.5,0.6683,2.542,64.22,142.59,288.37,1.48e+03,6.23
,,,"Otto Matic",20153311,"153311 (2001 MG1)",2460600.5,0.6459,2.502,142.33,218.52,304.13,1.45e+03,28.40
2,,3.423,"Otto Matic",20153591,"153591 (2001 SN263)",2460600.5,0.4799,1.988,325.72,173.04,343.42,1.02e+03,6.69
0.932,0.097,4.253,"Otto Matic",20153814,"153814 (2001 WN5)",2460600.5,0.4670,1.712,277.35,44.67,110.47,818,1.92
,,2.8174,"Otto Matic",20153958,"153958 (2002 AM31)",2460600.5,0.4515,1.703,144.37,197.96,166.89,812,4.64
,,,"Otto Matic",20154019,"154019 (2002 CZ9)",2460600.5,0.3601,1.325,142.84,80.88,264.53,557,4.97
,,,"Otto Matic",20154269,"154269 (2002 SM)",2460600.5,0.4865,1.872,10.78,217.51,300.04,935,14.40
,,2.283,"Otto Matic",20154275,"154275 (2002 SR41)",2460600.5,0.4907,1.084,247.77,258.20,119.73,412,11.58
1.060,0.143,4.823,"Otto Matic",20154276,"154276 (2002 SY50)",2460600.5,0.6888,1.704,34.03,99.68,288.08,813,8.75
,,4.329,"Otto Matic",20154302,"154302 (2002 UQ3)",2460600.5,0.5615,1.72,222.70,280.97,230.42,824,28.83
,,8.932,"Otto Matic",20154330,"154330 (2002 VX94)",2460600.5,0.4086,1.477,320.06,215.23,353.41,655,7.16
0.086,0.530,,"Otto Matic",20154590,"154590 (2003 MA3)",2460600.5,0.4022,1.105,152.67,228.88,56.99,424,1.42
,,,"Otto Matic",20155338,"155338 (2006 MZ1)",2460600.5,0.4826,1.569,226.58,138.70,81.14,718,2.08
2.324,0.052,7.84,"Otto Matic",20159504,"159504 (2000 WO67)",2460600.5,0.6172,2.433,107.57,237.82,138.95,1.39e+03,9.69
3.070,0.130,2.72627,"Otto Matic",20159857,"159857 (2004 LJ1)",2460600.5,0.5935,2.263,235.54,140.02,319.37,1.24e+03,23.15
1.9,0.09,3.7538,"Otto Matic",20161989,"161989 Cacus (1978 CA)",2460600.5,0.2139,1.123,161.21,102.09,338.81,435,26.06
0.4,,2.536,"Otto Matic",20162000,"162000 (1990 OS)",2460600.5,0.4624,1.678,346.51,21.59,239.67,794,1.09
,,,"Otto Matic",20162039,"162039 (1996 JG)",2460600.5,0.6604,1.802,52.83,280.26,246.30,883,5.28
,,11.7864,"Otto Matic",20162082,"162082 (1998 HL1)",2460600.5,0.1870,1.246,213.53,148.66,228.22,508,20.05
0.538,0.116,,"Otto Matic",20162116,"162116 (1998 SA15)",2460600.5,0.5585,1.916,114.17,331.44,267.66,969,7.11
,,,"Otto Matic",20162120,"162120 (1998 SH36)",2460600.5,0.5709,1.088,217.82,278.85,279.53,414,2.13
,,,"Otto Matic",20162162,"162162 (1999 DB7)",2460600.5,0.1949,1.206,157.59,29.93,110.33,484,10.84
0.896,0.045,7.63262,"Otto Matic",20162173,"162173 Ryugu (1999 JU3)",2460600.5,0.1911,1.191,251.29,211.61,327.33,475,5.87
