"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",20010860," 10860 (1995 LE)",2460600.5,0.5740,2.578,257.19,75.53,16.39,1.51e+03,4.15
,,2.57223,"Otto Matic",20011054," 11054 (1991 FA)",2460600.5,0.4467,1.979,339.05,92.34,74.07,1.02e+03,3.08
2.104,0.190,8.4958,"Otto Matic",20011066," 11066 Sigurd (1992 CC1)",2460600.5,0.3754,1.392,349.22,22.03,75.15,600,36.88
,,5.43,"Otto Matic",20011284," 11284 Belenus (1990 BA)",2460600.5,0.3373,1.74,311.71,171.13,44.40,838,1.99
,,,"Otto Matic",20011311," 11311 Peleus (1993 XN2)",2460600.5,0.5359,2.117,59.32,313.45,26.51,1.13e+03,25.49
1.316,0.318,38.6,"Otto Matic",20011398," 11398 (1998 YP11)",2460600.5,0.3895,1.721,144.74,74.76,107.00,824,15.02
3.621,0.112,6.504,"Otto Matic",20011405," 11405 (1999 CV3)",2460600.5,0.3939,1.46,141.25,96.40,153.90,644,22.86
0.738,0.142,73,"Otto Matic",20011500," 11500 Tomaiyowit (1989 UR)",2460600.5,0.3558,1.08,234.39,289.52,323.61,410,10.31
1.298,0.033,7.368,"Otto Matic",20011885," 11885 Summanus (1990 SS)",2460600.5,0.4744,1.703,359.78,116.20,59.35,812,19.43
1.663,0.232,2.575,"Otto Matic",20012538," 12538 (1998 OH)",2460600.5,0.4058,1.542,220.69,321.79,317.04,699,24.54
,,3.4848,"Otto Matic",20012711," 12711 Tukmit (1991 BB)",2460600.5,0.2722,1.186,294.96,322.88,291.28,472,38.49
2.060,0.199,3.893,"Otto Matic",20012923," 12923 Zephyr (1999 GK4)",2460600.5,0.4918,1.963,168.17,147.13,51.56,1e+03,5.30
,,58.,"Otto Matic",20013553," 13553 Masaakikoyama (1992 JE)",2460600.5,0.4637,2.189,193.46,109.95,333.19,1.18e+03,5.88
0.562,0.511,33.644,"Otto Matic",20013651," 13651 (1997 BR)",2460600.5,0.3057,1.335,116.63,133.86,262.62,564,17.25
0.6,0.14,2.261,"Otto Matic",20014402," 14402 (1991 DB)",2460600.5,0.4016,1.715,158.14,51.55,325.50,820,11.41
0.9,,,"Otto Matic",20014827," 14827 Hypnos (1986 JK)",2460600.5,0.6649,2.841,57.93,238.19,21.63,1.75e+03,1.98
,,3.2486,"Otto Matic",20015745," 15745 Yuliya (1991 PM5)",2460600.5,0.2555,1.72,132.58,140.66,284.35,824,14.43
,,11,"Otto Matic",20015817," 15817 Lucianotesi (1994 QC)",2460600.5,0.1182,1.324,162.47,94.29,340.12,557,13.87
4.106,0.020,178.5,"Otto Matic",20016064," 16064 Davidharvey (1999 RH27)",2460600.5,0.5894,2.849,335.55,104.75,43.97,1.76e+03,4.54
,,19.01,"Otto Matic",20016636," 16636 (1993 QP)",2460600.5,0.4677,2.31,296.77,47.38,314.66,1.28e+03,7.21
,,,"Otto Matic",20016657," 16657 (1993 UB)",2460600.5,0.4608,2.277,31.19,21.30,356.33,1.26e+03,24.95
,,2.449,"Otto Matic",20016816," 16816 (1997 UF9)",2460600.5,0.6038,1.442,37.14,158.01,95.46,633,25.92
1.87,0.22,9.345,"Otto Matic",20016834," 16834 (1997 WU22)",2460600.5,0.4421,1.468,260.76,334.39,247.48,650,16.00
