"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",1002424,"  249P/LINEAR",2456863.5,0.8187,2.77,239.85,64.81,255.31,1.68e+03,8.40
,,,"Davide Farnocchia",1000298,"  252P/LINEAR",2457552.5,0.6731,3.047,190.95,343.31,16.63,1.94e+03,10.42
,,,"Otto Matic",1002422,"  255P/Levy",2454456.5,0.6720,3.025,279.78,179.59,82.56,1.92e+03,18.33
,,,"Otto Matic",1000154,"  262P/McNaught-Russell",2455919.5,0.8154,6.935,218.01,171.17,341.30,6.67e+03,29.08
,,,"Otto Matic",1002435,"  263P/Gibbs",2458413.5,0.5878,3.06,105.81,34.57,71.27,1.96e+03,11.54
,,,"Otto Matic",1000765,"  273P/Pons-Gambart",2456369.5,0.9753,32.83,320.43,20.19,0.46,6.87e+04,136.40
,,,"Shantanu Naidu",1000750,"  289P/Blanpain",2458746.5,0.6851,3.045,68.92,9.85,342.94,1.94e+03,5.90
,,,"Otto Matic",1002493,"  294P/LINEAR",2455453.5,0.5986,3.194,314.34,234.17,141.45,2.09e+03,18.54
,,,"Davide Farnocchia",1000567,"  300P/Catalina",2458122.5,0.6916,2.699,95.69,222.87,292.86,1.62e+03,5.68
,,,"Otto Matic",1000448,"  306P/LINEAR",2453403.5,0.5983,3.104,341.50,0.77,96.98,2e+03,8.36
,,,"Otto Matic",1003094,"  317P/WISE",2456433.5,0.5802,2.957,275.69,334.74,203.07,1.86e+03,11.96
,,,"Otto Matic",1002993,"  319P/Catalina-McNaught",2456545.5,0.6650,3.573,111.37,203.68,263.69,2.47e+03,15.07
,,,"Otto Matic",1000508,"  320P/McNaught",2455658.5,0.6824,3.103,295.96,0.67,73.92,2e+03,4.89
,,,"Otto Matic",1001745,"  321P/SOHO",2453458.5,0.9807,2.427,165.27,172.41,28.99,1.38e+03,19.74
,,,"Davide Farnocchia",1001474,"  322P/SOHO",2457179.5,0.9787,2.516,359.52,49.05,337.76,1.46e+03,12.59
,,,"Davide Farnocchia",1002073,"  323P/SOHO",2459259.5,0.9848,2.582,324.23,353.17,6.50,1.52e+03,5.37
,,,"Davide Farnocchia",1003986,"  323P/SOHO-B",2459275.5,0.9843,2.888,323.70,354.85,8.77,1.79e+03,5.43
,,,"Davide Farnocchia",1003987,"  323P/SOHO-C",2459275.5,0.9811,2.61,324.67,354.65,10.31,1.54e+03,5.26
,,,"Otto Matic",1003026,"  325P/Yang-Gao",2455978.5,0.6243,3.406,258.85,347.00,157.54,2.3e+03,16.33
,,21.04,"Otto Matic",1003435,"  333P/LINEAR",2457173.5,0.7360,4.223,115.56,26.15,324.92,3.17e+03,131.88
,,,"Davide Farnocchia",1001542,"  342P/SOHO",2457600.5,0.9826,3.043,43.40,58.70,5.45,1.94e+03,13.27
,,,"Otto Matic",1003263,"  364P/PANSTARRS",2458898.5,0.7226,2.878,46.22,211.97,122.02,1.78e+03,12.15
,,,"Otto Matic",1003346,"  384P/Kowalski",2458361.5,0.6154,2.907,354.39,37.38,279.20,1.81e+03,7.28
,,,"Otto Matic",1003006,"  387P/Boattini",2457120.5,0.7360,4.799,259.36,162.78,208.93,3.84e+03,8.90
,,,"Otto Matic",1003292,"  405P/Lemmon",2458091.5,0.6891,3.607,3.31,112.29,199.34,2.5e+03,9.37
,,,"Shantanu Naidu",1003467,"  414P/STEREO",2459229.5,0.8117,2.795,257.79,210.74,357.81,1.71e+03,23.38
,,36.6,"Otto Matic",1003451,"  460P/PANSTARRS",2457495.5,0.6663,3.022,180.53,351.90,6.09,1.92e+03,18.92
,,,"Otto Matic",1003925,"  463P/NEOWISE",2459433.5,0.8253,2.976,283.72,215.91,244.87,1.88e+03,29.44
,,,"Otto Matic",1003138,"  479P/Elenin",2460007.5,0.7786,5.62,295.85,263.49,328.31,4.87e+03,15.39
,,,Yeomans,1000703,"     D/1766 G1 (Helfenzrieder)",2366200.5,0.8476,2.665,76.26,178.70,1.15,1.59e+03,7.87
,,,Leverrier,1000705,"     D/1770 L1 (Lexell)",2367764.5,0.7861,3.153,134.47,225.02,-0.01,2.05e+03,1.55
